nominal_verb_ratio	msttr	noun_ttr	verb_ttr	personal_pronoun_ratio	function_word_ratio	of_ratio	that_ratio	past_tense_ratio	present_tense_ratio	passive_ratio	active_ratio	adjective_adverb_ratio	avg_wordlen	avg_sentlen	num_sents	avg_ndd	std_ndd	avg_mdd	std_mdd	compression_ratio	sentiment	sentiment_mean	sentiment_std	sentiment_abs	feuilleton_id	article_id	label
2.2066666666666666	0.8089999999999999	0.8727272727272727	0.8266666666666667	0.08784893267651889	0.1781609195402299	0.0090311986863711	0.0049261083743842365	0.5333333333333333	0.2	0.984	0.016	0.1954459203036053	4.925047438330171	34.8	35	1.2691747953367627	0.5175323774662784	2.617721798080267	0.9725476687347101	2.3972701149425286	[0.0, 0.0, 0.9999812841415405, 0.9999808073043823, 0.0, 0.999970555305481, -0.9999771118164062, 0.9999837875366211, 0.9999778270721436, 0.9999221563339233, 0.0, 0.9999834299087524, -0.999880313873291, -0.9999179840087891, 0.0, 0.0, -0.9999878406524658, -0.9998552799224854, -0.9999881982803345, 0.0, -0.9999698400497437, 0.819460391998291, 0.998991072177887, -0.9997497200965881, 0.9999798536300659, -0.999985933303833, -0.9999884366989136, -0.9999809265136719, -0.9999390840530396, 0.9999721050262451, 0.9999837875366211, 0.8788365125656128, 0.9999830722808838, 0.9999840259552002, -0.9999815225601196]	0.04850824219839914	0.8841025355371371	0.7913197960172381	thi_domino_a	thi_000013_b	fiction
3.388888888888889	0.78	0.9772727272727273	1.0	0.09615384615384616	0.1875	0.019230769230769232	0.0	0.1111111111111111	0.5555555555555556	0.9375	0.0625	0.16111111111111112	4.883333333333334	34.666666666666664	6	1.7133688885714553	0.2836952589891797	2.9524647477279053	1.091942294589971	1.8450244698205547	[-0.9999289512634277, 0.5097416043281555, -0.9994655251502991, 0.0, 0.9836074709892273, -0.9999891519546509]	-0.25100575884183246	0.800839597121255	0.7487887839476267	thi_domino_a	thi_000014	fiction
3.033333333333333	0.83	1.0	0.9333333333333333	0.053061224489795916	0.1469387755102041	0.02040816326530612	0.0	0.7333333333333333	0.13333333333333333	0.9523809523809523	0.047619047619047616	0.22727272727272727	5.236363636363636	30.625	8	1.263435117331542	0.3329038474167218	2.9459325598990116	0.7614209263264603	1.9142480211081794	[0.9997127652168274, 0.999934196472168, 0.9999834299087524, 0.9987194538116455, -0.9999840259552002, -0.9999885559082031, -0.9999812841415405, 0.9999823570251465]	0.2497972920536995	0.9680769835022681	0.9997857585549355	thi_domino_a	thi_000015	fiction
2.1538461538461537	0.8043478260869565	1.0	1.0	0.1111111111111111	0.18518518518518517	0.018518518518518517	0.0	0.15384615384615385	0.46153846153846156	0.75	0.25	0.17391304347826086	4.630434782608695	21.6	5	1.2830439981948185	0.26088469107803947	1.7774257511099616	1.2727256314952553	1.625	[0.9999834299087524, 0.9998828172683716, 0.9998890161514282, 0.9999749660491943, 0.0]	0.7999460458755493	0.399973025127029	0.7999460458755493	thi_domino_a	thi_000016	fiction
2.5923566878980893	0.7972727272727274	0.7790262172284644	0.8280254777070064	0.07779456193353475	0.17900302114803626	0.014350453172205438	0.0037764350453172208	0.7515923566878981	0.1464968152866242	0.9669421487603306	0.03305785123966942	0.20052083333333334	5.138020833333333	28.782608695652176	46	1.3179091573305186	0.5408111794041698	2.5734984666739606	0.9073978882117978	2.4298758217677134	[0.0, 0.9999450445175171, -0.999980092048645, 0.9999744892120361, 0.0, -0.9998158812522888, 0.9999836683273315, 0.9999808073043823, 0.9999819993972778, 0.9999809265136719, 0.0, -0.9997038245201111, 0.9999748468399048, 0.8485585451126099, 0.9999833106994629, -0.9962928891181946, 0.0, 0.9999810457229614, 0.9999833106994629, 0.9999784231185913, 0.9999833106994629, 0.0, 0.999983549118042, 0.9999829530715942, 0.9999797344207764, 0.9999805688858032, 0.0, 0.9999732971191406, 0.9999816417694092, 0.9999836683273315, 0.9970371723175049, 0.0, 0.9999663829803467, -0.9998950958251953, -0.99998939037323, 0.0, -0.9999819993972778, -0.9999856948852539, 0.9999693632125854, 0.999981164932251, -0.9999821186065674, 0.0, 0.999974250793457, 0.9999481439590454, 0.9999839067459106, 0.9999054670333862]	0.40976726101792377	0.7937285371920768	0.8008814778016962	thi_domino_b	thi_000023	fiction
1.5	0.9074074074074074	1.0	1.0	0.09090909090909091	0.16666666666666666	0.0	0.0	0.6	0.2	0.875	0.125	0.16666666666666666	4.537037037037037	33.0	2	1.3137614464761813	0.2553485426241111	3.125	0.18055555555555536	1.3387755102040817	[0.9999833106994629, 0.9999802112579346]	0.9999817609786987	1.5497207641601562e-06	0.9999817609786987	thi_domino_b	thi_000024	fiction
2.3574468085106384	0.8146666666666668	0.7443820224719101	0.7489361702127659	0.0723499719573752	0.16825574873808188	0.009534492428491307	0.00448681996634885	0.5702127659574469	0.20425531914893616	0.9710982658959537	0.028901734104046242	0.20481927710843373	5.091312618896639	29.229508196721312	61	1.3340110246314234	0.459317564886481	2.6991968926315177	0.7916477643223048	2.4594699922057677	[0.9999808073043823, 0.999982476234436, 0.9999827146530151, 0.9999821186065674, 0.9999586343765259, 0.999983549118042, -0.9999890327453613, 0.9949000477790833, 0.9999834299087524, -0.999984860420227, -0.9999892711639404, -0.9987932443618774, -0.9999312162399292, 0.9999828338623047, 0.9999725818634033, 0.9997300505638123, -0.9999896287918091, -0.9999886751174927, 0.9999830722808838, -0.9991536140441895, -0.9999892711639404, 0.999983549118042, 0.9998879432678223, 0.9999117851257324, -0.9471395015716553, -0.999988317489624, 0.9999830722808838, -0.999988317489624, 0.9992222785949707, -0.7673579454421997, 0.9999830722808838, 0.9999834299087524, 0.9999834299087524, -0.999985933303833, -0.999988317489624, 0.9999822378158569, -0.9999872446060181, 0.0, -0.9999759197235107, 0.9999812841415405, -0.9999772310256958, -0.9999839067459106, -0.9999731779098511, -0.9999227523803711, 0.9999814033508301, 0.9999833106994629, -0.9999867677688599, -0.999976396560669, 0.0, -0.999972939491272, 0.9999501705169678, 0.9999769926071167, 0.9999257326126099, -0.9999638795852661, -0.9999407529830933, -0.9999778270721436, 0.9999828338623047, 0.9999830722808838, 0.9999761581420898, -0.9999822378158569, 0.0]	0.03739681791086666	0.9698872686098214	0.9459829877634518	thi_domino_b	thi_000025	fiction
3.6666666666666665	0.9629629629629629	1.0	1.0	0.0	0.25	0.0625	0.0	0.3333333333333333	0.6666666666666666	1.0	0.0	0.1111111111111111	5.111111111111111	32.0	1	1.5130393129905177	0.0	3.1379310344827585	0.0	1.1257861635220126	[-0.9999884366989136]					thi_000026	non-fiction
3.5	0.9117647058823529	0.9	1.0	0.0	0.24324324324324326	0.0	0.0	0.25	0.25	1.0	0.0	0.14705882352941177	4.882352941176471	12.333333333333334	3	1.420634358757676	0.18743074183664898	1.6884057971014492	0.8714351874145971	1.2138728323699421	[0.0, 0.0, 0.0]	0.0	0.0	0.0		thi_000027	non-fiction
	1.0	1.0		0.0	0.16666666666666666	0.05555555555555555	0.0					0.23529411764705882	5.705882352941177	18.0	1	1.785206006353863	0.0	2.2941176470588234	0.0	0.9365079365079365	[-0.9999895095825195]					thi_000028	non-fiction
